xcentre,ycentre,zcentre,recpe,ue
8695.0,25737.5,1162.5,12.0,2
8685.0,25722.5,1162.5,12.0,2
8695.0,25722.5,1162.5,12.0,2
8695.0,25722.5,1147.5,12.0,2
8685.0,25737.5,1147.5,12.0,2
8685.0,25722.5,1147.5,12.0,2
8685.0,25737.5,1162.5,12.0,2
8715.0,25737.5,1147.5,12.0,2
8705.0,25737.5,1162.5,12.0,2
8715.0,25737.5,1162.5,12.0,2
8705.0,25722.5,1162.5,12.0,2
8715.0,25722.5,1162.5,12.0,2
8705.0,25722.5,1147.5,12.0,2
8705.0,25737.5,1147.5,12.0,2
8725.0,25737.5,1162.5,12.0,2
8575.0,25752.5,1162.5,12.0,2
8575.0,25767.5,1162.5,12.0,2
8585.0,25767.5,1162.5,12.0,2
8595.0,25767.5,1147.5,12.0,2
8595.0,25752.5,1147.5,12.0,2
8595.0,25752.5,1162.5,12.0,2
8595.0,25767.5,1162.5,12.0,2
8585.0,25752.5,1147.5,12.0,2
8585.0,25767.5,1147.5,12.0,2
8585.0,25752.5,1162.5,12.0,2
8615.0,25767.5,1162.5,12.0,2
8615.0,25752.5,1162.5,12.0,2
8605.0,25767.5,1147.5,12.0,2
8605.0,25752.5,1147.5,12.0,2
8615.0,25767.5,1147.5,12.0,2
8615.0,25752.5,1147.5,12.0,2
8605.0,25767.5,1162.5,12.0,2
8605.0,25752.5,1162.5,12.0,2
8635.0,25767.5,1147.5,12.0,2
8635.0,25767.5,1162.5,12.0,2
8625.0,25767.5,1147.5,12.00000095,2
8635.0,25752.5,1162.5,11.99999905,2
8635.0,25752.5,1147.5,12.0,2
8625.0,25767.5,1162.5,12.0,2
8625.0,25752.5,1147.5,12.0,2
8625.0,25752.5,1162.5,12.0,2
8655.0,25767.5,1147.5,12.0,2
8645.0,25752.5,1162.5,12.0,2
8655.0,25767.5,1162.5,12.0,2
8645.0,25752.5,1147.5,12.0,2
8645.0,25767.5,1147.5,12.0,2
8645.0,25767.5,1162.5,12.0,2
8655.0,25752.5,1147.5,12.0,2
8655.0,25752.5,1162.5,12.0,2
8675.0,25767.5,1162.5,12.0,2
8675.0,25767.5,1147.5,12.00000095,2
8665.0,25767.5,1162.5,12.0,2
8665.0,25752.5,1147.5,12.0,2
8665.0,25752.5,1162.5,12.0,2
8675.0,25752.5,1147.5,12.0,2
8665.0,25767.5,1147.5,12.0,2
8675.0,25752.5,1162.5,12.0,2
8685.0,25752.5,1162.5,12.0,2
8685.0,25767.5,1162.5,12.0,2
8695.0,25752.5,1147.5,12.0,2
8695.0,25752.5,1162.5,12.0,2
8695.0,25767.5,1162.5,11.99999905,2
8685.0,25767.5,1147.5,12.0,2
8695.0,25767.5,1147.5,12.0,2
8685.0,25752.5,1147.5,12.0,2
8715.0,25767.5,1147.5,12.0,2
8715.0,25752.5,1147.5,12.0,2
8715.0,25752.5,1162.5,12.0,2
8705.0,25767.5,1162.5,12.0,2
8705.0,25767.5,1147.5,12.0,2
8705.0,25752.5,1147.5,12.0,2
8705.0,25752.5,1162.5,12.0,2
8715.0,25767.5,1162.5,12.0,2
8725.0,25752.5,1162.5,12.0,2
8725.0,25767.5,1162.5,12.0,2
8565.0,25797.5,1162.5,12.0,2
8575.0,25782.5,1162.5,11.99999905,2
8565.0,25782.5,1162.5,12.0,2
8575.0,25797.5,1147.5,12.0,2
8575.0,25797.5,1162.5,11.99999905,2
8575.0,25782.5,1147.5,12.0,2
8595.0,25797.5,1162.5,12.0,2
8585.0,25797.5,1162.5,12.0,2
8595.0,25782.5,1147.5,12.0,2
8595.0,25782.5,1162.5,11.99999905,2
8585.0,25782.5,1162.5,12.0,2
8585.0,25797.5,1147.5,12.0,2
8585.0,25782.5,1147.5,12.0,2
8595.0,25797.5,1147.5,12.0,2
8605.0,25797.5,1162.5,12.00000095,2
8605.0,25797.5,1147.5,12.0,2
8615.0,25797.5,1147.5,12.0,2
8615.0,25782.5,1147.5,12.0,2
8605.0,25782.5,1162.5,12.0,2
8615.0,25782.5,1162.5,12.0,2
8615.0,25797.5,1162.5,11.99999905,2
8605.0,25782.5,1147.5,12.0,2
8635.0,25782.5,1147.5,12.0,2
8625.0,25782.5,1162.5,12.0,2
8625.0,25782.5,1147.5,12.0,2
8625.0,25797.5,1162.5,12.0,2
8635.0,25782.5,1162.5,12.0,2
8635.0,25797.5,1162.5,12.0,2
8625.0,25797.5,1147.5,12.0,2
8635.0,25797.5,1147.5,12.0,2
8655.0,25797.5,1162.5,12.0,2
8645.0,25782.5,1147.5,12.0,2
8645.0,25782.5,1162.5,12.0,2
8645.0,25797.5,1147.5,12.0,2
8655.0,25782.5,1147.5,11.99999905,2
8645.0,25797.5,1162.5,12.0,2
8655.0,25797.5,1147.5,12.0,2
8655.0,25782.5,1162.5,12.0,2
8665.0,25782.5,1147.5,12.0,2
8675.0,25782.5,1147.5,12.0,2
8675.0,25797.5,1147.5,12.0,2
8665.0,25797.5,1147.5,12.0,2
8665.0,25797.5,1162.5,12.0,2
8675.0,25797.5,1162.5,12.0,2
8665.0,25782.5,1162.5,12.0,2
8675.0,25782.5,1162.5,12.0,2
8695.0,25797.5,1162.5,12.0,2
8695.0,25782.5,1162.5,12.0,2
8685.0,25782.5,1162.5,12.0,2
8695.0,25782.5,1147.5,12.0,2
8685.0,25782.5,1147.5,12.0,2
8685.0,25797.5,1162.5,12.0,2
8695.0,25797.5,1147.5,12.0,2
8685.0,25797.5,1147.5,12.0,2
8715.0,25797.5,1147.5,12.0,2
8705.0,25797.5,1147.5,11.99999905,2
8705.0,25797.5,1162.5,12.0,2
8715.0,25797.5,1162.5,12.0,2
8715.0,25782.5,1162.5,12.0,2
8715.0,25782.5,1147.5,12.0,2
8705.0,25782.5,1147.5,12.0,2
8705.0,25782.5,1162.5,12.0,2
8725.0,25782.5,1162.5,12.0,2
8735.0,25782.5,1162.5,12.0,2
8735.0,25797.5,1162.5,12.0,2
8725.0,25797.5,1162.5,12.0,2
8725.0,25797.5,1147.5,12.0,2
8725.0,25782.5,1147.5,12.0,2
8575.0,25812.5,1147.5,12.0,2
8575.0,25827.5,1147.5,12.0,2
8575.0,25812.5,1162.5,11.99999905,2
8565.0,25812.5,1162.5,12.0,2
8575.0,25827.5,1162.5,12.0,2
8565.0,25827.5,1162.5,11.99999905,2
8585.0,25812.5,1147.5,12.0,2
8595.0,25827.5,1162.5,12.0,2
8595.0,25827.5,1147.5,12.0,2
8585.0,25827.5,1162.5,12.0,2
8595.0,25812.5,1162.5,12.0,2
8595.0,25812.5,1147.5,12.00000095,2
8585.0,25812.5,1162.5,11.99999905,2
8585.0,25827.5,1147.5,12.0,2
8615.0,25812.5,1162.5,11.99999905,2
8615.0,25827.5,1147.5,12.0,2
8605.0,25827.5,1162.5,11.99999905,2
8615.0,25812.5,1147.5,12.0,2
8605.0,25827.5,1147.5,12.00000095,2
8615.0,25827.5,1162.5,12.0,2
8605.0,25812.5,1162.5,12.0,2
8605.0,25812.5,1147.5,12.0,2
8625.0,25827.5,1147.5,12.0,2
8635.0,25827.5,1162.5,12.0,2
8625.0,25827.5,1162.5,11.99999905,2
8625.0,25812.5,1147.5,12.0,2
8625.0,25812.5,1162.5,12.0,2
8635.0,25812.5,1147.5,12.0,2
8635.0,25812.5,1162.5,11.99999905,2
8635.0,25827.5,1147.5,11.99999905,2
8645.0,25827.5,1147.5,12.0,2
8655.0,25827.5,1162.5,12.0,2
8645.0,25812.5,1162.5,11.99999905,2
8645.0,25812.5,1147.5,12.0,2
8645.0,25827.5,1162.5,12.0,2
8655.0,25812.5,1147.5,12.00000095,2
8655.0,25812.5,1162.5,12.0,2
8655.0,25827.5,1147.5,12.0,2
8665.0,25812.5,1147.5,12.0,2
8675.0,25827.5,1162.5,12.0,2
8675.0,25827.5,1147.5,12.0,2
8665.0,25812.5,1162.5,12.0,2
8665.0,25827.5,1147.5,12.0,2
8675.0,25812.5,1162.5,12.0,2
8665.0,25827.5,1162.5,12.0,2
8675.0,25812.5,1147.5,12.0,2
8695.0,25827.5,1162.5,12.0,2
8695.0,25812.5,1147.5,12.0,2
8695.0,25812.5,1162.5,12.0,2
8685.0,25812.5,1162.5,12.0,2
8685.0,25827.5,1147.5,12.0,2
8685.0,25827.5,1162.5,12.00000095,2
8695.0,25827.5,1147.5,12.0,2
8685.0,25812.5,1147.5,12.00000095,2
8715.0,25827.5,1162.5,12.0,2
8705.0,25827.5,1147.5,12.0,2
8715.0,25827.5,1147.5,12.0,2
8705.0,25827.5,1162.5,12.0,2
8705.0,25812.5,1162.5,12.0,2
8715.0,25812.5,1162.5,11.99999905,2
8715.0,25812.5,1147.5,12.0,2
8705.0,25812.5,1147.5,12.0,2
8725.0,25812.5,1162.5,12.0,2
8735.0,25812.5,1162.5,12.00000095,2
8725.0,25827.5,1147.5,12.0,2
8735.0,25827.5,1162.5,12.0,2
8725.0,25827.5,1162.5,12.0,2
8725.0,25812.5,1147.5,12.0,2
8575.0,25857.5,1147.5,12.0,2
8575.0,25857.5,1162.5,12.0,2
8565.0,25857.5,1162.5,12.0,2
8565.0,25842.5,1162.5,12.0,2
8575.0,25842.5,1147.5,12.0,2
8575.0,25842.5,1162.5,12.0,2
8595.0,25857.5,1162.5,12.0,2
8585.0,25857.5,1147.5,12.0,2
8585.0,25857.5,1162.5,11.99999905,2
8595.0,25857.5,1147.5,12.0,2
8585.0,25842.5,1147.5,12.0,2
8585.0,25842.5,1162.5,12.0,2
8595.0,25842.5,1147.5,11.99999905,2
8595.0,25842.5,1162.5,12.0,2
8615.0,25857.5,1147.5,12.0,2
8615.0,25857.5,1162.5,12.0,2
8605.0,25857.5,1162.5,12.0,2
8615.0,25842.5,1162.5,12.0,2
8605.0,25842.5,1147.5,12.0,2
8605.0,25842.5,1162.5,11.99999905,2
8615.0,25842.5,1147.5,12.0,2
8605.0,25857.5,1147.5,12.00000095,2
8635.0,25842.5,1162.5,12.0,2
8635.0,25857.5,1162.5,12.0,2
8635.0,25857.5,1147.5,12.0,2
8625.0,25857.5,1147.5,12.0,2
8625.0,25842.5,1147.5,12.0,2
8625.0,25842.5,1162.5,12.0,2
8625.0,25857.5,1162.5,12.00000095,2
8635.0,25842.5,1147.5,12.0,2
8645.0,25857.5,1147.5,12.0,2
8645.0,25857.5,1162.5,12.0,2
8655.0,25857.5,1147.5,12.0,2
8655.0,25842.5,1147.5,12.0,2
8655.0,25842.5,1162.5,12.0,2
8645.0,25842.5,1162.5,12.0,2
8645.0,25842.5,1147.5,12.0,2
8655.0,25857.5,1162.5,12.0,2
8675.0,25842.5,1162.5,12.00000095,2
8675.0,25842.5,1147.5,12.0,2
8665.0,25857.5,1147.5,12.0,2
8665.0,25842.5,1147.5,12.0,2
8675.0,25857.5,1162.5,12.0,2
8675.0,25857.5,1147.5,12.0,2
8665.0,25842.5,1162.5,12.00000095,2
8665.0,25857.5,1162.5,11.99999905,2
8685.0,25857.5,1162.5,12.0,2
8695.0,25842.5,1147.5,12.0,2
8685.0,25842.5,1162.5,12.0,2
8685.0,25842.5,1147.5,12.00000095,2
8695.0,25842.5,1162.5,12.0,2
8685.0,25857.5,1147.5,12.0,2
8695.0,25857.5,1147.5,11.99999905,2
8695.0,25857.5,1162.5,12.0,2
8715.0,25842.5,1162.5,12.0,2
8705.0,25857.5,1162.5,11.99999905,2
8705.0,25842.5,1147.5,12.0,2
8715.0,25842.5,1147.5,12.0,2
8715.0,25857.5,1147.5,12.0,2
8705.0,25857.5,1147.5,12.00000095,2
8705.0,25842.5,1162.5,12.0,2
8715.0,25857.5,1162.5,11.99999905,2
8725.0,25857.5,1162.5,12.0,2
8735.0,25842.5,1162.5,12.00000095,2
8725.0,25842.5,1147.5,12.0,2
8725.0,25842.5,1162.5,12.0,2
8735.0,25857.5,1162.5,12.0,2
8725.0,25857.5,1147.5,11.99999905,2
8575.0,25872.5,1147.5,12.0,2
8575.0,25887.5,1162.5,12.0,2
8575.0,25872.5,1162.5,12.0,2
8565.0,25872.5,1162.5,12.0,2
8595.0,25887.5,1147.5,12.0,2
8595.0,25872.5,1147.5,12.0,2
8585.0,25872.5,1162.5,12.0,2
8595.0,25872.5,1162.5,12.0,2
8595.0,25887.5,1162.5,11.99999905,2
8585.0,25872.5,1147.5,12.0,2
8585.0,25887.5,1162.5,12.0,2
